time,A_B,A_ReturnFlow,Ag_ReturnFlow,B_Ag,B_Urban,Reservoir,Reservoir_A,Urban_ReturnFlow
157,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
158,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
159,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
160,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
161,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
162,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
163,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
164,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
165,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
166,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
167,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
168,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
169,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
170,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
171,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
172,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
173,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
174,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
175,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
176,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
177,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
178,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
179,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
180,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
181,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
182,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
183,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
184,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
185,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
186,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
187,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
188,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
189,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
190,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
191,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
192,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
193,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
194,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
195,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
196,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
197,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
198,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
199,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
200,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
201,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
202,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
203,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
204,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
205,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
206,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
207,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
208,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
209,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
210,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
211,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
212,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
213,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
214,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
215,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
216,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
217,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
218,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
219,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
220,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
221,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
222,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
223,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
224,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
225,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
226,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
227,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
228,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
229,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
230,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
231,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
232,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
233,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
234,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
235,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
236,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
237,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
238,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
239,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
240,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
241,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
242,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
243,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
244,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
245,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
246,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
247,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
248,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
249,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
250,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
251,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
252,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
253,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
254,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
255,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
256,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
257,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
258,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
259,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
260,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
261,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
262,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
263,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
264,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
265,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
266,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
267,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
268,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
269,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
270,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
271,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
272,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
273,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
274,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
275,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
276,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
277,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
278,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
279,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
280,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
281,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
282,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
283,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
284,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
285,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
286,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
287,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
288,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
289,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
290,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
291,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
292,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
293,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
294,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
295,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
296,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
297,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
298,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
299,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
300,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
301,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
302,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
303,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
304,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
305,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
306,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
307,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
308,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
309,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
310,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
311,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
312,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
313,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
314,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
315,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
316,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
317,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
318,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
319,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
320,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
321,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
322,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
323,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
324,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
325,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
326,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
327,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
328,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
329,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
330,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
331,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
332,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
333,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
334,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
335,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
336,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
337,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
338,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
339,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
340,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
341,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
342,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
343,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
344,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
345,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
346,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
347,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
348,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
349,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
350,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
351,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
352,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
353,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
354,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
355,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
356,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
357,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
358,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
359,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
360,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
361,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
362,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
363,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
364,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
365,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
366,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
367,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
368,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
369,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
370,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
371,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
372,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
373,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
374,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
375,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
376,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
377,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
378,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
379,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
380,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
381,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
382,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
383,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
384,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
385,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
